ProductDetailID,ProductName,ProductGroupID,SKU,Price,StockQuantity,Manufacturer,SupplierID,WarrantyPeriod,ProductDescription,ReleaseDate,Status
4941,Around Safe,24,5a12f23c-5f5e-4677-9038-b4562c958138,2762.05,427,West and Sons,61,3 years,"Owner design community. Usually high forward police guess nation seven.
Five style community follow remain oil fish too.",2020-03-02,Available
6599,Suggest Six,63,62759173-01f3-4781-b9e9-5e6cfffec068,4125.64,251,"Fisher, Cruz and Hall",152,6 months,"Step join little respond early must.
Officer possible week office candidate major. If hand step star.",2020-08-12,Out of Stock
6002,Stuff Economic,96,1d9fb0ea-7893-438c-b1a2-f0c7c20ae7fa,4195.03,209,"Green, Reynolds and Romero",119,6 months,Word away once school. Issue stock service necessary have best. Move pretty with their imagine.,2023-10-09,Out of Stock
5460,Sound Administration,36,3ca9b4ba-6d1f-4119-b26f-bea63b105c9a,1200.34,266,"Smith, Murray and Morrison",181,2 years,Ahead magazine let understand agree. Action look be recently decide American relate. Begin fire point office.,2021-05-19,Discontinued
753,Attorney Ball,53,b234c812-31f4-4825-8f86-372197c8ce14,296.67,770,"Murphy, Kelly and Cole",105,2 years,Stay let crime ten itself whole town. Energy year in garden option several.,2020-12-02,Discontinued
3187,Any Environment,16,31987f08-99a9-42a9-80b8-224898b2f4ac,2785.59,77,"Kim, Harvey and Richardson",5,6 months,Same matter what drop economic weight beyond. Tough stand church describe star part keep. Generation nice season today.,2020-07-18,Available
7169,Eye Past,96,8c7b556c-ff78-4c51-8f0b-a19e9f294b3c,2264.72,790,Barry-Haas,121,1 year,"Nearly decade serious try. Final popular staff very loss.
Run wide thank within drop. In agreement for campaign bank. Chair return human occur boy.",2023-08-23,Out of Stock
4565,Second Family,8,44824b60-44bf-4cbc-a065-64c4e8b0124f,4116.24,673,"Curry, Rodriguez and Allison",120,3 years,"Red glass dark maintain successful Republican decide. Practice heavy sign door though call.
Would chance relationship around alone difference total. Color yourself sure when.",2020-02-10,Available
1345,Leg Light,97,aa207ef5-3a56-4f97-9d38-47f33f8cec56,2013.03,101,Clarke-Bishop,96,1 year,"Represent professor war senior series safe once speak. Third field guess nature enjoy guess put.
Focus table arm. Sell common should toward suddenly. Could small born much.",2020-07-04,Out of Stock
1403,Investment Dream,74,23eb6cc8-2533-4a51-bad0-03f432aad86a,3934.52,975,Ferguson Inc,174,3 years,"Herself election value later skill clearly. Hope situation lawyer wind can goal. Sister phone front price member.
Agency part the stay home. Accept fund live commercial water forget oil.",2020-08-06,Available
1258,She Entire,12,1871cebd-95ba-4a2a-8b15-965d67088b98,3126.41,380,Castro-Phillips,63,1 year,"Hospital prevent top number number difficult. Letter girl level hard try ball.
New hundred role training. Mission high speak up especially. Fact young animal or data tell.",2024-03-31,Discontinued
5836,She Produce,79,f52948ea-27c5-40cc-af53-693a593ffbe3,4505.62,600,"Mendoza, Bradshaw and Christian",16,3 years,"Material medical note heavy couple. Talk against choice book talk form.
Three education point stock population sign. Yes media agree again available item. Note whatever money boy.",2021-02-03,Out of Stock
8558,Chair Mother,13,786689e9-1891-483c-8bfc-4573cc6d8456,892.79,6,Wade Ltd,42,2 years,Move officer weight successful visit sense bed support. Consumer manage Mrs than sometimes degree. Maybe indeed discussion someone ball detail sense high.,2022-03-22,Available
1285,Forward Kid,90,dd5655d6-6612-4722-b2aa-899e5f9b1950,3907.73,834,"Francis, Vasquez and Nguyen",96,2 years,They for sea. Military toward leg case play despite control. Not southern study artist must movie how.,2022-11-26,Discontinued
9481,Data Arrive,61,8daf30a0-9428-496d-b852-f258fc93d50c,2526.85,97,White-Beck,15,2 years,"Reflect her ok set popular one. Wear carry everyone space run send project tell. Term establish culture himself unit hard.
Everybody situation party rise. Actually daughter for commercial hope.",2021-01-05,Available
5090,Film Crime,7,5fd1e05f-6d18-4079-9b78-cab418911c0d,321.8,861,Reyes Group,75,2 years,Tv deal this shake fall government wonder. Usually sort smile stand understand. Else personal best around.,2022-01-14,Discontinued
406,Rule Manage,65,eae56d0e-2940-4bd2-b1dd-73f3118caef1,4667.79,436,Taylor-Sanchez,48,3 years,"Interview task nature bit every better task. Sometimes staff able quickly site group nice sort. Take use order subject much whatever.
For pretty argue director. During point both church near improve.",2022-04-08,Discontinued
9230,Expert Position,89,1da42e59-8e99-41dd-becf-a63b3aac9cc2,2935.04,446,Grant-Stokes,163,3 years,"Future toward man you. Game forget four manager something. Hope six consider large.
Bad room now skill back move. Establish meet maybe.",2021-04-12,Discontinued
719,Thus Back,88,f895a200-397a-4e56-a787-b7cd41469d47,282.96,368,Collins Group,22,2 years,Fund me summer some card public. Soon scene arm TV can research recently. Business standard catch buy go woman open.,2021-06-10,Discontinued
3598,Begin Their,15,6d031a1b-6153-429e-9a25-4325ef188c96,4740.13,775,"Cabrera, White and Duncan",178,2 years,"Plan baby operation bit clear. That drug every center road.
If although perhaps my bit film. True painting yet civil. Cost small say election should.",2021-04-01,Available
4141,Listen East,20,fa7636e6-9487-46ca-893f-5f4c57653c3c,4548.33,77,Pacheco-Johnson,106,6 months,"Always impact how carry bit outside threat. Sometimes score smile think book. Billion significant country story father.
Since least region someone talk. Line discover bring body whether.",2023-01-02,Out of Stock
7395,Suggest Effect,59,6d8d1b13-46eb-4077-8d1c-298ac09a58a0,2345.43,528,Stephens-Rojas,7,1 year,Positive may market agreement create. Star all story draw election action mention. Crime forward race manage. Throughout finish require manage remain.,2020-10-18,Out of Stock
726,Short Agreement,35,b4f2b36f-d791-4c0c-9b7b-195b9a094e9f,4168.03,944,Davis-Williams,7,6 months,"Policy able these best class activity.
Environment impact could thought serve college. Else mind suggest out write. Miss beautiful mother item break. Public key once memory.
Price prove usually yes.",2022-10-19,Out of Stock
7215,True Hot,59,41c63127-f2d5-4c60-947a-cbd4e1ae1a46,352.66,18,Buchanan-Conway,30,1 year,Somebody American practice behind loss. Around military president analysis head firm.,2023-11-03,Available
6296,Sing Long,54,d9712f73-bacd-4f48-883a-5398941cb93d,3451.09,988,Mason Group,21,1 year,"Beautiful life treat chair street team same.
Level show country six thought leave exactly open. Nearly memory reveal past garden.",2020-05-16,Out of Stock
4757,Coach Build,49,3e73bf82-ac57-4c00-9228-2082dcb3ec51,4803.52,598,Brown-Lopez,147,6 months,Phone candidate message I research democratic administration. Authority pretty country fast.,2022-02-08,Available
3572,Evening Check,87,c8ba8846-5b30-4371-bc43-ae21d7b3a6fb,42.96,969,Browning Inc,171,1 year,"Statement main large American or language place. Job fall do few reach positive red sound. Others control heavy new my accept.
Order resource itself.",2020-05-05,Available
6179,Modern Control,21,af02f29e-6f85-45f1-8dba-438b953ca057,2733.63,113,French Group,77,6 months,"Draw near economic kind system. East ball then kitchen. Hotel rate religious speech ready.
Join best form smile. Everyone interesting stay indicate. Save director support several.",2021-08-10,Out of Stock
2226,Finish Seven,5,e168897b-82a0-40ff-8a95-fd8e6aab271d,345.33,620,Lee Group,134,2 years,Skill figure run pretty heart. When bill area store hope service. Us matter similar on necessary especially.,2021-03-31,Available
2754,Set See,10,c79d13c7-88a0-466e-a3a1-bcd691071aed,1152.06,988,"Smith, Sanders and Richards",172,6 months,"Claim tree common against. Expect question work north.
Establish floor total my nearly woman indeed. Development kind scientist sport.
Mind either huge. Yeah speak age land go.",2023-05-27,Discontinued
2722,Performance Central,7,75edd044-f0e8-41dd-a047-3949cc592788,2734.95,664,Campbell-Jackson,13,6 months,Get impact center force population article large. Old trouble wish step culture record color. Community activity space good western last officer.,2023-02-20,Available
7652,Mother Feel,1,3bdf7c1a-b7fd-4d2b-abec-a04d4ddb0391,4130.93,32,"Howard, Campos and Mora",164,6 months,"Rather might hit movement one. My research inside agency few few former. Suddenly Republican plant.
Term local common station home successful. Check example worker more continue among public.",2022-06-17,Available
8668,Free From,67,8fc39b5c-4105-4488-ab4c-a093e3a4d8f8,53.94,594,Ortiz-Campbell,49,2 years,"Share morning small forget. Number pull but onto head message.
Down their rather half street.
Space ready few author. Whether fast believe player us mother white.",2021-07-03,Discontinued
5797,Off Week,24,524ca855-b542-4cae-adcd-0b95648f5f72,2901.02,236,"Torres, Anthony and Frey",74,3 years,Course reason then perform sell gas. Difficult of American strategy. Their begin particularly group Mrs box.,2021-07-20,Discontinued
8868,This Measure,96,e37f19f3-daa9-4c55-855a-dc3634b200c9,2191.02,625,"Miller, Harrison and Long",1,2 years,"Art newspaper important particularly day work recent. Tree budget single. While green individual artist down about network.
Night participant call offer. Politics guess child time building difficult.",2022-04-03,Available
9805,Bit Industry,2,d4dddf83-2638-4b4d-b05e-a23e4b47f95b,2348.91,605,Glass PLC,97,2 years,Generation though knowledge find. Talk system quite quickly necessary fear yes. Happy energy charge read down music.,2022-03-12,Available
7995,Physical Drop,59,31cbfdc6-6f2c-4b2a-8f6f-85d3792c14e0,1970.44,57,Friedman-Matthews,18,6 months,Amount dream take so soon ago also reflect. Eight would drug owner most trade my. Science culture operation part. Player moment raise.,2023-08-19,Out of Stock
9922,Work Believe,51,d6aba3e3-d3ad-4bd5-85d0-f44a88e107a3,2571.62,388,Foster-Perez,184,2 years,Live system possible decide through option. Method central somebody.,2021-06-25,Discontinued
595,That Price,76,36b7ad95-5f9f-4758-807f-db91738462db,2007.78,492,"Reyes, Bolton and Vasquez",98,6 months,"Study believe phone rather. Under happen owner forward general make major center.
What drive both claim kind.",2023-05-24,Discontinued
770,Believe Especially,70,ccf951ce-2b9d-47b7-a73c-3004228f417b,3777.26,145,"Skinner, Hernandez and Garcia",27,1 year,Huge wrong food best he smile step. Music five from address save season. Physical reflect remain say.,2022-07-05,Out of Stock
330,Tend Possible,60,e4288ded-9b07-46c6-a2b2-9b367a135a38,1328.02,998,Caldwell-Randolph,78,2 years,"Picture job environmental until loss through she. Send picture available box. Space else including hot develop factor human.
Man deep must peace citizen officer now. Event address keep.",2023-08-23,Discontinued
6749,Authority Talk,4,ebb7b312-666a-422a-9c14-6571433ca8b0,1331.14,299,Henry-Foley,140,3 years,Appear research majority agent speak sport. Happen hand include sell. Stage method child probably summer begin.,2020-05-25,Discontinued
8069,War Popular,99,dc8b483f-3be4-46d0-8e1a-462f3a671de4,1955.38,584,"Lawson, Cooper and Ferguson",163,3 years,"Sing success energy enough sign lot section remain. Note open large worker along sit action.
Enough growth pick item quite you test. Health west western will so behind PM. Data alone ahead.",2021-04-20,Available
9223,Effect Degree,16,3f812f58-2f65-4825-8be3-1aae7d4e493b,1315.89,679,Byrd PLC,198,2 years,Task candidate man process. Discussion American hot reason. Forward rule adult test situation theory race figure.,2021-02-20,Available
1273,Serve Risk,20,d743679f-9f38-4e45-9b65-78782174c82a,937.3,635,Herrera-Martinez,69,1 year,"Least race dream PM to grow. Network south late recently. Class power section age memory.
Writer authority most material attack. Arrive there build imagine example cultural join.",2023-11-11,Discontinued
7550,Body Down,58,ee7bd5bd-d09d-403a-9880-70eb736da8ea,3307.52,765,"Davis, Morgan and Jacobs",200,3 years,"Bag remember too power. Measure present woman community hard sport democratic. Break carry ten show sell.
Mention station bill true president direction information. Century coach away cold.",2020-05-06,Out of Stock
7598,Term Special,72,781b98ab-bb0c-4e0a-a195-d84528907419,3292.74,256,Brock PLC,196,1 year,"Worker than able wish answer. Improve main throughout body everyone.
Body indicate nation movie identify sign might. Drive present son choice.",2024-02-28,Available
9260,Middle Role,3,fd03457b-6bf2-47f7-8fab-00f0f6208912,4443.28,969,"Rice, Mitchell and Stanton",165,2 years,All somebody level month. Sit without charge benefit hope page. Fund six game consider idea.,2021-07-22,Discontinued
8632,Stop Speak,52,a6289ed8-7c44-49c9-89c0-278307b2951d,4070.3,34,Cole-Kelly,133,3 years,Success good down red now identify. Executive break else material. Bad imagine news change price member short.,2023-08-12,Out of Stock
1765,Interest Total,5,5cd2d86c-abee-42b9-a257-5f72dc622c69,1261.98,742,Gray-Holmes,116,2 years,Keep continue second question born American set.,2022-05-17,Out of Stock
555,Despite Him,67,53b4c075-9659-43ef-ad65-99513c352efd,4068.14,642,Mullen PLC,170,1 year,"Talk anything carry than. Tonight law himself most while may. Site size business nothing different.
Word treatment matter both light since class. Year community tell before institution.",2022-04-14,Discontinued
7760,Economic Account,53,8bf1e98c-ac82-4dfc-8335-a90707f7c333,3681.55,167,Bryant-Parker,57,6 months,"Maybe enough future measure member what. Hold under possible black. Big rock commercial seem.
Mouth ready president I project would whether. Defense could indicate how anyone.",2021-09-15,Out of Stock
9528,Thank Training,7,12534ad1-ca53-4b37-918e-18da514f1e61,4455.54,676,Freeman and Sons,87,2 years,"Under body collection thing note office born.
Rate any important hour little nature red. Civil operation industry light site deep. Some phone art policy.",2022-06-29,Available
9989,Value Hope,100,b380293f-d686-4fd7-b064-44a5190a0b25,2163.48,960,"Gregory, Torres and Baker",72,6 months,Drive later need natural would. Follow term throughout their capital. Hope event mouth quickly.,2020-08-19,Available
8434,Than Able,1,597c0405-bfc3-47bd-a121-fd93221ec4de,2272.2,872,"Wright, Campbell and White",40,6 months,Scene loss yes form smile police world despite. Create suggest order voice. Artist call foreign choose wear speech avoid game.,2021-06-22,Available
4389,Stage Senior,24,051569f1-e3b6-4e19-b506-b6007af75346,271.17,45,"Brown, Levine and Jackson",23,3 years,"Type something interest service small scientist. Many piece increase grow site rule dream democratic.
World particularly seat suffer central. Offer treat man Mrs now. Rest voice magazine push.",2021-06-02,Available
151,Ten Mean,7,d057e059-1473-4c02-b8bc-afbec678e743,776.95,493,"Massey, Morales and Scott",151,6 months,Glass dog black continue crime season. Total factor would really fire yourself middle. Significant enough party wind boy grow and.,2021-10-30,Discontinued
1614,Author Consider,87,acdfdb8c-cab7-472d-8c68-57b9afebd22f,390.02,687,"Rhodes, Smith and Young",71,6 months,"Other your beautiful north cold suddenly meet. Range region stuff drug.
Area where door. Live begin design evening news which history.",2021-02-24,Discontinued
7637,Phone Issue,2,38422c1c-0e73-4d97-a7c9-7cac61abb21b,4310.6,713,Green-Swanson,129,3 years,"Score which bank especially avoid note. Issue million factor wind tend.
Kid catch behind group dinner opportunity. Sign old game all accept control kid.",2020-10-22,Out of Stock
9890,Create Hour,18,06470584-9923-419a-8d05-a96bcdf4f0c6,2089.33,409,"Padilla, Estrada and Price",92,6 months,"Leg music admit one way. Break enjoy democratic common.
Hope second state.
A send explain focus war. Loss control six. Whole play country.",2021-08-20,Discontinued
318,Official At,23,bc1062ef-382f-465e-a43b-072e5b6720ec,4989.68,955,Hunt-Oconnor,139,2 years,"Role alone church degree. Center home doctor wish. Practice billion ask knowledge.
Painting onto police stop on occur administration expect. Commercial much decide resource voice.",2020-02-15,Available
5785,Face Pressure,30,f874df04-96fb-43b6-8d6e-df5cebb0b899,750.32,131,Peterson-Hurst,4,1 year,"Recent now way likely. Usually only certainly value government last board. Future consumer action become however.
Wind voice bed star lot.",2020-09-24,Available
7445,Cultural Believe,73,9c55dbb4-cd56-4f6b-8edb-55ab71ba4eb9,2612.87,765,Morgan-Stout,13,3 years,Quite others country leader war imagine under. Media ability one draw number card. High color country want cell.,2023-02-27,Available
1939,Drive Line,31,7b82b109-f82a-416d-b15e-7a07491a7af1,4576.28,616,Martin-Henry,132,2 years,Available none kid voice camera time. Adult possible amount pay safe notice. Study herself wrong give call pattern.,2024-05-05,Out of Stock
2623,Arrive Treat,95,37542ac1-f203-4eea-adc5-bad6e83e93d2,3188.29,467,"Peterson, Hernandez and Garner",88,3 years,"Fast or step follow.
Wall lose wish of. Light million rock push pick possible Republican.",2020-05-10,Discontinued
6393,Alone Again,60,3b77abc0-5ac6-4901-9ebc-24dd73ecd4b2,2174.69,649,Gutierrez-Huffman,93,1 year,"Industry give candidate range near. Factor meet rich produce interest already performance.
Light language exactly camera although team. Thought activity him often.",2020-10-02,Discontinued
5832,Lawyer Foot,62,0716420e-7c04-4e07-857c-8a8f28bbca73,980.6,551,Le PLC,76,2 years,Sea mother girl local. Budget check place. Cold staff across doctor truth.,2021-03-23,Out of Stock
3271,Opportunity Rate,81,2eae5902-6cab-457a-b2f1-5aacaef4a040,1463.11,613,Dickson-Jones,92,1 year,"Evidence other toward politics.
Particularly black deep create pretty week benefit knowledge. Trade table study rather.
History such else high major here. Order dark just member culture.",2023-07-04,Out of Stock
9327,Best Security,9,81da7298-50a3-4e5b-b7e0-3dfad69d37bf,4718.91,811,Walker-Stephenson,56,3 years,"Responsibility despite three degree memory realize among. Professor then billion day effect customer turn.
Example sport white whatever.
Threat talk board visit. Leader provide yeah street situation.",2020-04-17,Discontinued
7791,Perhaps Rock,65,73d56e10-56d3-4db0-914a-734a3b7bf960,2275.93,853,Ponce LLC,158,3 years,War class benefit drug include town magazine door. Themselves military speak something eight expert. Small check team could.,2021-08-27,Out of Stock
9649,Red Rock,86,67851d2e-823b-46d8-81de-7e7e37ba5d2f,4647.21,193,"Drake, Wilson and Smith",152,1 year,"Every decide thing during.
Issue list report rock course. Third tonight base between. Lawyer you or whether green red.",2023-09-30,Out of Stock
8835,Worker Add,48,43fdec9d-e5ce-408e-8f90-9716b5cd3501,3072.17,33,"Lee, Wilson and Brown",150,6 months,"Best movie ten tough maybe. Travel prevent quite tax house explain painting author.
Many how wear lose may pick ground. General yeah summer support itself rest yourself western.",2021-08-24,Discontinued
6322,Life Her,61,aade223a-45eb-4b2c-a5ec-268739b5bb38,4268.0,504,Shields-Walker,69,6 months,Arrive important strong see. Yourself what price sound. Particularly collection team. Hotel meeting size listen cut baby ten.,2023-03-02,Out of Stock
1010,Shake Or,51,0230d240-549b-4d13-80a0-7d00c81e1171,2799.88,801,Matthews-Cervantes,134,1 year,"Notice effect school design story ten. Condition fact continue learn by. Weight science save success become suddenly mention.
Cause everything those political. Model including near final feel hit.",2023-04-06,Available
